name,region,variety,rating,notes
Alto Moncayo Aquilon 2002,Spain,Red Wine,96.0,"""The superb 2002 Aquilon is a selection of old vine Grenache from hillside vineyards. A gorgeously complex perfume of kirsch liqueur, black raspberries, cassis, minerals, flowers, and sweet oak is followed by a full-bodied, massively-endowed, pure, textured, well-balanced wine. Given the limited production and high quality of this fabulous effort, its high price can not be considered unfair. It should drink well for a decade. Australian winemaker Chris Ringland oversees the winemaking at this estate, a superb new discovery by broker Jorge Ordonez. This full-throttle, robust, exuberant, super-concentrated 100% Grenache offering may be the finest wine to ever emerge from this backwater Spanish appellation."" - Wine Advocate"
Alto Moncayo Aquilon 2006,Spain,Red Wine,96.0,"Dark purple. The nose offers surreal, room-filling perfume of ripe raspberry, blackberry, incense, vanilla and dried flowers. Shockingly understated on the palate, with vibrant red berry, smoked meat and baking spice flavors, silky tannins and crisp mineral bite. There's no excess fat or sweetness here. Finishes with palate-staining intensity and superb focus."
Altos las Hormigas Gualtallary Malbec 2016,"Uco Valley, Mendoza, Argentina",Red Wine,96.0,"A solid violet red color reveals a dense, concentrated, compact wine. Notes of spices and minerality make a complex nose. On the palate, a supple entry, dark berries and spices. A very structured and quite wild Malbec, with firm fine-grain tannins, showing its calcareous foundations and columns. The mouth feel is full of thrilling freshness and balance, with a long and persistent finish."
Altos las Hormigas Gualtallary Malbec 2017,"Uco Valley, Mendoza, Argentina",Red Wine,96.0,"A solid violet red color reveals a dense, concentrated, compact wine. Notes of spices and minerality make a complex nose. On the palate, a supple entry, dark berries and spices. A very structured and quite wild Malbec, with firm fine-grain tannins, showing its calcareous foundations and columns. The mouth feel is full of thrilling freshness and balance, with a long and persistent finish."
Alvear Pedro Ximenez 1830 Solera (500ML),Spain,,97.0,"The 1830 Solera is black with shades of chocolate and mahogany. Persistent aromas of cacao, dates, raisins and figs. On the palate it is dense and unctuous, with reminiscence of raisins, dried figs, tobacco and coffee with an everlasting and elegant finish."
Amapola Creek Estate Cabernet Sauvignon 2013,"Sonoma Valley, Sonoma County, California",Red Wine,96.0,"The nose on this wine opens with a luscious dollop of blackberry and red, juicy plum. Swirl the glass once or twice, and you will start to uncover darker fruit notes of blackcurrant and a bare hint of pomegranate, accented with subtle notes of oak and toasted vanilla. Take a sip, and the first thing you will notice is a firm acidity that opens quickly onto dark black fruit with just a touch of anise. As your first impression fades, you will find deeply  structured tannins that fill the palate, underscoring a finish redolent with chocolate, blueberry preserves, and aged cedar. This wine evolves marvelously over the course of a glass, growing bigger and bolder as it takes in the air. The tannins unfold and show the excellent maturity of the grapes as they were brought in from the vineyard, and the fruit characters gain in intensity, building to an intricate finish that lasts for many minutes. "
Amici Beckstoffer Missouri Hopper Vineyard Cabernet Sauvignon 2016,"Oakville, Napa Valley, California",Red Wine,97.0,"A gorgeous, fragrant nose of black cherry, plum and dark chocolate is washed with hints of vanilla. The full-throttled palate is reminiscent of blackberry pie along with flavors of concentrated dark fruit and silky chocolate. Hints of clove, cassis and savory herbs pepper throughout the powerful finish."
Amici Beckstoffer To Kalon Vineyard Cabernet Sauvignon 2016,"Oakville, Napa Valley, California",Red Wine,97.0,"The power of this heritage vineyard lies in its distinct nose with classic To Kalon aromas of clay loam, wet earth and mint. Additional elevated aromatics feature blueberry jam, rhubarb compote, cassis and sweet tobacco. On the palate, the wine is both precise and dense, with soy, menthol, raspberry cordial and black raspberry jam notes. A powerful wine from start to finish, with powdery, chalky tannins and an impressively long finish. "
Anakota Helena Dakota Vineyard Cabernet Sauvignon 2010,"Knights Valley, Sonoma County, California",Red Wine,96.0,"Sourced from our Helena Dakota Vineyard on the foothills of Mount St. Helena which rises more than 4,000 feet above sea level. This distinctive, two-peaked mountain remains the heart of an ancient volcanic zone responsible for the complex, mineral-rich soils of Knights Valley and nearby grape-growing districts. The resulting wine shows complex red fruits, floral, coffee, minerality, and elegant tannins."
Anakota Helena Dakota Vineyard Cabernet Sauvignon 2012,"Knights Valley, Sonoma County, California",Red Wine,96.0,"This 12.4 acre vineyard runs southeast to northwest on the eastern side of scenic Highway 128 and possesses slopes of up to 15 degrees. Prevailing westerly winds pass over a large, cold pond and blow uphill, parallel to the rows of vines. These cooling breezes slow down the ripening of the grapes and result in wines that are packed with elegance, complexity and finesse. This wine offers a flavor profile of complex red fruits, floral, coffee, minerality, and elegant tannins."
Anakota Helena Dakota Vineyard Cabernet Sauvignon 2017,"Knights Valley, Sonoma County, California",Red Wine,96.0,"The 2017 growing season was defined by plentiful rain in the winter followed by mild conditions in spring and summer. To preserve the natural acidity in the grapes, picking began early on September 12th in the Dakota vineyard. The wines were resting in barrel prior to the Sonoma County Tubbs fire in October, therefore remained unaffected by any smoke taint. The 2017 Helena Dakota expresses perfumed aromatics of violet blossom and blackberry liquor with subtle notes of menthol and dried black currants. The luxurious, silky palate is accompanied by hints of toasted baking spices and tobacco leaf. Each element is beautifully integrated and complimented with velvety tannins and vibrant acidity, for which drive its satisfyingly long finish."
Anakota Helena Montana Vineyard Cabernet Sauvignon 2013,"Knights Valley, Sonoma County, California",Red Wine,96.0,Blend: 100% Cabernet Sauvignon
Anakota Helena Montana Vineyard Cabernet Sauvignon 2016,"Knights Valley, Sonoma County, California",Red Wine,96.0, 
Anakota Helena Montana Vineyard Cabernet Sauvignon 2017,"Knights Valley, Sonoma County, California",Red Wine,96.0,"The 2017 growing season was defined by plentiful rain in the winter followed by mild conditions in spring and summer. To preserve the natural acidity in the grapes, picking began early on September 6th in the Helena Montana vineyard. The wines were resting in barrel prior to the Sonoma County Tubbs fire in October, therefore remained unaffected by any smoke taint. The 2017 Helena Montana wine possesses a deep-purple core with soft violet hues. Reminiscent of a young Bordeaux, aromatic flavors of fresh raspberry, black cherry and dried bay leaf are framed by French oak-derived nuances of toasted cardamom and vanilla. Well-structured and full-bodied, the wine offers brilliant acidity and refined tannins bringing levity, focus and balance to the long, elegant finish."
Anderson's Conn Valley Vineyards Cabernet Sauvignon Estate Reserve 2005,"Napa Valley, California",Red Wine,96.0,"""The 2005 Cabernet Sauvignon Reserve is showing even better than it did last year, which is not unusual when tasting the wines of Todd Anderson and Mac Sawyer. Dense ruby/purple to the rim, with the classic Pauillac-like nose of creme de cassis, cedar wood, a hint of tobacco leaf, and very subtle smoke, the wine displays charcoal and roasted herbs, full-bodied power, wonderfully sweet tannins, and a long, long finish. This is a 20- to 25-year wine that should just get better and better as it ages, but it is accessible enough to drink now."""
Anderson's Conn Valley Vineyards Cabernet Sauvignon Estate Reserve 2008,"Napa Valley, California",Red Wine,98.0,"100% Cabernet Sauvignon, 100% Estate grown."
Anderson's Conn Valley Vineyards Cabernet Sauvignon Reserve (1.5 Liter Magnum) 2008,"Napa Valley, California",Red Wine,98.0,"100% Cabernet Sauvignon, 100% Estate grown."
Anderson's Conn Valley Vineyards Cabernet Sauvignon Reserve (1.5 Liter Magnum) 2009,"Napa Valley, California",Red Wine,96.0,"Dense purple with a reddish-purple edge. Red and black currents, violets and other perfumed flowers, all anchored by fantastic loamy earth and concentrated minerals. Medium to full bodied mouth feel with full mouth aftertaste. Powerful concentrated dark berry fruits are elevated by brighter red fruits but then are counterbalanced by earth, leather and graphite like minerals. The fruit and earth components are so tightly woven that once you grasped one element, the wine moves into another."
Anderson's Conn Valley Vineyards Cabernet Sauvignon Reserve (375ML half-bottle) 2005,"Napa Valley, California",Red Wine,96.0,"""The 2005 Cabernet Sauvignon Reserve is showing even better than it did last year, which is not unusual when tasting the wines of Todd Anderson and Mac Sawyer. Dense ruby/purple to the rim, with the classic Pauillac-like nose of creme de cassis, cedar wood, a hint of tobacco leaf, and very subtle smoke, the wine displays charcoal and roasted herbs, full-bodied power, wonderfully sweet tannins, and a long, long finish. This is a 20- to 25-year wine that should just get better and better as it ages, but it is accessible enough to drink now."""
Anderson's Conn Valley Vineyards Cabernet Sauvignon Reserve (375ML half-bottle) 2009,"Napa Valley, California",Red Wine,96.0,"Dense purple with a reddish-purple edge. Red and black currents, violets and other perfumed flowers, all anchored by fantastic loamy earth and concentrated minerals. Medium to full bodied mouth feel with full mouth aftertaste. Powerful concentrated dark berry fruits are elevated by brighter red fruits but then are counterbalanced by earth, leather and graphite like minerals. The fruit and earth components are so tightly woven that once you grasped one element, the wine moves into another."
Anderson's Conn Valley Vineyards Eloge (1.5 Liter Magnum) 2007,"Napa Valley, California",Red Wine,98.0,"65% Cabernet Sauvignon, 25% Cabernet Franc, 7% Petit Verdot, 3% Merlot"
Anderson's Conn Valley Vineyards Eloge 2005,"Napa Valley, California",Red Wine,96.0,"A blend of 65% Cabernet Sauvignon, 25% Cabernet Franc, 5% Merlot and 5% Petit Verdot."
Anderson's Conn Valley Vineyards Eloge 2007,"Napa Valley, California",Red Wine,98.0,"65% Cabernet Sauvignon, 25% Cabernet Franc, 7% Petit Verdot, 3% Merlot"
Anderson's Conn Valley Vineyards Eloge (6.0 Liter Bottle) 2007,"Napa Valley, California",Red Wine,98.0,"65% Cabernet Sauvignon, 25% Cabernet Franc, 7% Petit Verdot, 3% Merlot. "
Andre Brunel Chateauneuf-du-Pape Les Cailloux Centenaire 1998,"Chateauneuf-du-Pape, Rhone, France",Red Wine,96.0,"On the nose are aromas of dried flowers, kirsch, blackcurrants, and blackberries, with spice-box, roasted meats, plum, and licorice on the palate. Mouth filling texture, brilliant concentration, and a big finish."
Andre Brunel Chateauneuf-du-Pape Les Cailloux Centenaire 2000,"Chateauneuf-du-Pape, Rhone, France",Red Wine,96.0,"A rich and expressive nose: black currants, blackberries... Powerful and roundness in the mouth: an impressively long finish in the mouth, the tannins are perfectly mellow. There are dominant aromas of undergrowth and leather. "
Andre Brunel Chateauneuf-du-Pape Les Cailloux Centenaire 2005,"Chateauneuf-du-Pape, Rhone, France",Red Wine,96.0,"Only produced in great vintages, this is an exceptional fine cuvée with an incomparably long and elegant finish. "
Andre Brunel Chateauneuf-du-Pape Les Cailloux Centenaire (3L) 2007,"Chateauneuf-du-Pape, Rhone, France",Red Wine,96.0,"The Cuvee Centenaire bottling is among the rarest and most sought after wines of Châteauneuf-du-Pape. It is produced from ancient vines planted in 1889. The Centenaire vineyard is planted to roughly 80% Grenache, 12% Mourvedre and 8% Syrah. The Grenache, which is often picked at 16 degrees potential alcohol, is vinified and aged in tank, while the Mourvedre and Syrah are finished in small barrels for up to 24 months. Brunel only makes the Cuvée Centenaire in the finest vintages, otherwise the old-vine fruit is used in the ""regular"" Les Cailloux bottling."
Andremily Mourvedre 2014,"Santa Barbara, Central Coast, California",Red Wine,96.0,"The 2014 Andremily Mourvedre, the first varietally designated Mourvedre, is terrific blend of 86% Mourvedre from Alta Mesa Vineyard, co-fermented with 14% Syrah from White Hawk Vineyard. The fruit was 30% destemmed, and aged for 23 months in 30% new French barrique. The result of all of this is a full throttle, rich- textured wine with soaring aromatics of spiced meats, chocolate, crushed pepper, and earth. A wine packed with all of the sexiest elements of Mourvedre. "
Andremily Syrah No. 1 2012,"Santa Barbara, Central Coast, California",Red Wine,97.0,"The 2012 Andremily No.1 is a 100% delicious Cuvee’ comprised predominantly of Syrah from the Famed White Hawk Vineyard in Cat Canyon, and Larner Vineyard in Ballard Canyon. The Syrah was 5% co-fermented with Viognier, and 70% destemmed. It was bottled after 25 months in French barrique, of which 58% where new. The final cuvee was finished off with a dollop of Mourvedre, serving as the cherry on top."
Andremily Syrah No. 2 (1.5 Liter Magnum) 2013,"Santa Barbara, Central Coast, California",Red Wine,99.0,"Andremily is excited to share with all of you the 2013 Andremily No.2. The No.2, which similar to the first release, is comprised predominantly of Syrah from the Famed White Hawk Vineyard in Cat Canyon, and Larner Vineyard in Ballard Canyon. The Syrah was 4% co-fermented with Viognier, and includes 35% whole cluster. We included 11% Mourvedre in the final blend, which was bottled after 23 months in French barrique, of which 62% where new."
Andremily Syrah No. 2 2013,"Santa Barbara, Central Coast, California",Red Wine,99.0,"Andremily is excited to share with all of you the 2013 Andremily No.2. The No.2, which similar to the first release, is comprised predominantly of Syrah from the Famed White Hawk Vineyard in Cat Canyon, and Larner Vineyard in Ballard Canyon. The Syrah was 4% co-fermented with Viognier, and includes 35% whole cluster. We included 11% Mourvedre in the final blend, which was bottled after 23 months in French barrique, of which 62% where new."
